,fips,percent_cases,poverty_percent,median_household_income,always,frequently,sometimes,rarely,never
1390,01001,0.13,0.12,58233.0,0.444,0.295,0.134,0.07400000000000001,0.053
2757,01003,0.1,0.1,59871.0,0.436,0.32299999999999995,0.098,0.059000000000000004,0.083
2148,01005,0.11,0.27,35972.0,0.491,0.201,0.12,0.121,0.067
1464,01007,0.13,0.2,47918.0,0.5720000000000001,0.278,0.096,0.034,0.02
1535,01009,0.12,0.16,52902.0,0.45899999999999996,0.19399999999999998,0.18,0.114,0.053
1466,01011,0.15,0.3,31906.0,0.5,0.28600000000000003,0.14400000000000002,0.04,0.031
1883,01013,0.12,0.22,39944.0,0.451,0.13699999999999998,0.257,0.053,0.102
1412,01015,0.13,0.17,47747.0,0.442,0.16699999999999998,0.13,0.10800000000000001,0.152
1385,01017,0.12,0.2,42015.0,0.56,0.136,0.15,0.037000000000000005,0.11699999999999999
1371,01019,0.07,0.16,45982.0,0.52,0.158,0.161,0.027000000000000003,0.135
1667,01021,0.1,0.16,49692.0,0.618,0.19399999999999998,0.057999999999999996,0.07,0.06
2201,01023,0.05,0.23,39808.0,0.568,0.21899999999999997,0.126,0.038,0.049
2530,01025,0.15,0.18,43822.0,0.43,0.268,0.16399999999999998,0.08800000000000001,0.049
1392,01027,0.13,0.17,40562.0,0.32899999999999996,0.16899999999999998,0.195,0.158,0.14800000000000002
1149,01029,0.1,0.13,51276.0,0.368,0.217,0.138,0.125,0.151
1613,01031,0.11,0.15,57299.0,0.466,0.18600000000000003,0.094,0.152,0.10099999999999999
1459,01033,0.12,0.15,46683.0,0.51,0.159,0.152,0.096,0.08199999999999999
2012,01035,0.1,0.22,41539.0,0.39899999999999997,0.192,0.259,0.052000000000000005,0.099
1581,01037,0.11,0.17,42024.0,0.384,0.263,0.16699999999999998,0.131,0.055
2366,01039,0.12,0.17,44836.0,0.35600000000000004,0.201,0.129,0.128,0.187
1409,01041,0.12,0.17,43309.0,0.41600000000000004,0.233,0.19899999999999998,0.091,0.06
1832,01043,0.12,0.12,50897.0,0.379,0.217,0.249,0.024,0.13
1154,01045,0.1,0.18,45120.0,0.46,0.22,0.11800000000000001,0.113,0.08900000000000001
2312,01047,0.1,0.26,34034.0,0.524,0.122,0.159,0.1,0.095
1888,01049,0.13,0.18,44277.0,0.58,0.179,0.106,0.051,0.084
1559,01051,0.13,0.11,62310.0,0.485,0.252,0.127,0.095,0.042
2256,01053,0.12,0.2,42712.0,0.387,0.285,0.188,0.026000000000000002,0.114
1110,01055,0.14,0.19,43047.0,0.501,0.122,0.17800000000000002,0.10300000000000001,0.096
1470,01057,0.14,0.17,44212.0,0.429,0.233,0.151,0.048,0.138
1524,01059,0.14,0.16,44874.0,0.484,0.156,0.223,0.071,0.065
1277,01061,0.1,0.16,43089.0,0.445,0.158,0.08900000000000001,0.131,0.17600000000000002
1570,01063,0.12,0.32,28699.0,0.623,0.16699999999999998,0.127,0.053,0.03
1557,01065,0.15,0.2,40745.0,0.639,0.191,0.084,0.061,0.026000000000000002
1178,01067,0.11,0.17,48597.0,0.43799999999999994,0.258,0.17,0.068,0.066
1297,01069,0.1,0.19,50138.0,0.433,0.268,0.135,0.079,0.085
2442,01071,0.14,0.15,44322.0,0.46,0.249,0.11,0.08900000000000001,0.092
2440,01073,0.13,0.16,54127.0,0.628,0.179,0.107,0.037000000000000005,0.049
1391,01075,0.11,0.15,42686.0,0.527,0.18899999999999997,0.132,0.045,0.107
1730,01077,0.11,0.16,48188.0,0.469,0.179,0.141,0.11900000000000001,0.09300000000000001
1717,01079,0.1,0.18,47797.0,0.419,0.251,0.08800000000000001,0.08,0.162
1423,01081,0.11,0.16,54160.0,0.562,0.183,0.138,0.064,0.053
1397,01083,0.11,0.12,64729.0,0.395,0.336,0.133,0.034,0.102
1763,01085,0.15,0.27,33930.0,0.46399999999999997,0.19899999999999998,0.145,0.073,0.12
1415,01087,0.1,0.29,34281.0,0.545,0.172,0.24100000000000002,0.033,0.008
1952,01089,0.1,0.12,68609.0,0.589,0.177,0.12300000000000001,0.05,0.062
2297,01091,0.14,0.25,38838.0,0.512,0.18600000000000003,0.11800000000000001,0.151,0.033
1810,01093,0.11,0.17,44675.0,0.353,0.207,0.24600000000000002,0.064,0.129
1457,01095,0.13,0.16,48913.0,0.479,0.253,0.129,0.064,0.075
2665,01097,0.11,0.18,49492.0,0.506,0.244,0.102,0.07,0.077
2355,01099,0.09,0.23,40005.0,0.37799999999999995,0.28800000000000003,0.182,0.040999999999999995,0.11199999999999999
1921,01101,0.12,0.16,52711.0,0.513,0.212,0.12300000000000001,0.095,0.055999999999999994
1367,01103,0.13,0.14,54355.0,0.45899999999999996,0.304,0.08199999999999999,0.077,0.078
1759,01105,0.13,0.34,29572.0,0.618,0.187,0.087,0.084,0.025
2090,01107,0.13,0.24,40249.0,0.584,0.157,0.16899999999999998,0.06,0.031
